nom;type d'activité;types de public;exposition;réservation;nature de client;type de client;catégorie de client;niveau de groupe;langue du groupe;thème;date;heure;durée;fin;en vente;nature de la séance;salles;langues de l'activite;matériels;places ouvertes;places vendues;places disponibles;overbooking;overbooking vendu;overbooking disponible;taux de remplissage;Montant;temps de préparation;temps de rangement;temps annexe total;Types de public (croisement col C et F);AGE ( Type de client ? Col H);Niveau groupe / détail âge (col I);langue;TARIF;
VA - UN PLAT EN TROMPE L'OEIL;VISITE-ATELIER;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 16;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Tuesday, January 7, 2025;10:00;120;12:00;1;G;;;;0;12;0;0;0;0;0;0;0;0;0;GROUPES;JEUNES/FAMILLES;Groupe Adulte - Associations Adultes;Français;;
PARCOURS CONTÉ - EN VOYAGE !;PARCOURS;EN FAMILLE;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2010;Organisme;Primaire;Groupe Education - 1er Degré;03_Grande section;Français;;Tuesday, January 7, 2025;10:15;90;11:45;1;G;;;;0;20;0;0;0;0;0;110.00;0;0;0;GROUPES;JEUNES/FAMILLES;Groupe Education - 1er Degré;;CS/Handicap;
PARCOURS CONTÉ - EN VOYAGE !;PARCOURS;EN FAMILLE;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2011;Organisme;Primaire;Groupe Education - 1er Degré;03_Grande section;Français;;Tuesday, January 7, 2025;14:00;90;15:30;1;G;;;;0;21;0;0;0;0;0;110.00;0;0;0;GROUPES;JEUNES/FAMILLES;Groupe Education - 1er Degré;;CS/Handicap;
ATELIER - MAD PRO - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;VISITE-ATELIER;;L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 2136;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;17_Première Pro;Français;;Tuesday, January 7, 2025;13:30;120;15:30;1;G;;;;0;30;0;0;0;0;0;170.00;0;0;0;GROUPES;JEUNES/FAMILLES;Groupe Education 2nd degré + enseignement sup;Français;;
APA - PROJET PHOTO L'INTIME;ATELIER DE PRATIQUE ARTISTIQUE;;L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 2174;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;18_Seconde Pro;Français;;Tuesday, January 7, 2025;14:00;120;16:00;1;G;N4 - Atelier Tuileries 1;;;0;30;0;0;0;0;0;0;0;0;0;GROUPES;JEUNES/FAMILLES;Groupe Education 2nd degré + enseignement sup;Français;;
VA - LIKE ME LIKE MOI;VISITE-ATELIER;11-14 ANS;L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 2452;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;18_Seconde Pro;Français;;Tuesday, January 7, 2025;14:45;120;16:45;1;G;N4 - Atelier Tuileries 3, NEF - EXPO;;;0;15;0;0;0;0;0;170.00;0;0;0;GROUPES;JEUNES/FAMILLES;Groupe Education 2nd degré + enseignement sup;Français;;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1450;Individuel;Individuels;;01_Petite section;Français;;Tuesday, January 7, 2025;12:15;90;13:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;20;5;15;0;0;0;25;110.00;0;0;0;GROUPES;;export tickpro;Français;CS/Handicap;
VL - L’INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX (ADULTES ET FAMILLES AVEC CONFÉRENCIER EXTÉRIEUR);GROUPE EN VISITE LIBRE;GROUPES;L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 1458;Individuel;Individuels;;01_Petite section;Français;;Tuesday, January 7, 2025;12:45;90;14:15;1;A;NEF - EXPO;;Expo - Audiophone 3;20;10;10;0;0;0;50;185.00;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2756;Individuel;Individuels;;27_Moins de 18 ans;Français;;Tuesday, January 7, 2025;12:15;90;13:45;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;5;25;0;0;0;16;0;0;0;0;GROUPES;;export tickpro;;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2067;Individuel;Individuels;;27_Moins de 18 ans;Français;;Tuesday, January 7, 2025;13:45;90;15:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;14;16;0;0;0;46;0;0;0;0;GROUPES;;export tickpro;;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2466;Individuel;Individuels;;27_Moins de 18 ans;Français;;Tuesday, January 7, 2025;12:45;90;14:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;30;0;0;0;0;100;0;0;0;0;GROUPES;;export tickpro;;;
VG - 1H30 - LA MODE EN MODÈLES;VISITE GUIDÉE;ADULTES (15 ANS ET +);LA MODE EN MODÈLES;Dossier 2458;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Wednesday, January 8, 2025;15:00;90;16:30;1;G;N2 - Lefuel - Galerie Jardin;;Expo - Audiophone 3;0;15;0;0;0;0;0;45.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;CS/Handicap;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2512;Individuel;Individuels;;31_Adultes;Français;;Wednesday, January 8, 2025;10:00;90;11:30;1;G;;;;0;15;0;0;0;0;0;0;0;0;0;GROUPES;ADULTES;31_Adultes;;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2355;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Wednesday, January 8, 2025;14:00;90;15:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;3;0;0;0;0;0;160.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;;Pour les VL : le niveau de groupe est dans le tarif
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1555;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Wednesday, January 8, 2025;14:30;90;16:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;20;0;0;0;0;0;330.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;;
PRIVATISATIONS - CHRISTOFLE;PRIVATISATION;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2676;Organisme;DG - Privatisation / Mécénat;Groupe Adulte - Interne;31_Adultes;Anglais;;Wednesday, January 8, 2025;18:15;195;21:30;1;G;;;;0;80;0;0;0;0;0;0;0;0;0;GROUPES;ADULTES;Groupe Adulte - Interne;Anglais;;
PRIVATISATIONS - L'INTIME, DE LA CHAMBRE AUX RESEAUX SOCIAUX;PRIVATISATION;;L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 2635;Organisme;DG - Privatisation / Mécénat;Groupe Adulte - Interne;31_Adultes;Français;;Wednesday, January 8, 2025;19:05;90;20:35;1;G;;;Expo - Audiophone 1;0;20;0;0;0;0;0;0;0;0;0;GROUPES;ADULTES;Groupe Adulte - Interne;Français;;
VL - L’INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;GROUPE EN VISITE LIBRE;GROUPES;L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 2264;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, January 8, 2025;14:00;90;15:30;1;G;NEF - EXPO;;;0;30;0;0;0;0;0;0;0;0;0;GROUPES;JEUNES/FAMILLES;27_Moins de 18 ans;;;
VA - MON PETIT OURS DE POCHE;VISITE-ATELIER;4-6 ANS, 7-10 ANS, EN FAMILLE;MON OURS EN PELUCHE;;;;;;;;Wednesday, January 8, 2025;14:30;120;16:30;1;A;N4 - Atelier Tuileries 1;Français;;13;13;0;0;0;0;100;312.00;0;0;0;INDIVIDUELS;JEUNES/FAMILLES;4-6 ANS, 7-10 ANS, EN FAMILLE;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 1009;Individuel;Individuels;;01_Petite section;Français;;Wednesday, January 8, 2025;13:15;90;14:45;1;A;;;;30;5;25;0;0;0;16;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - MON OURS EN PELUCHE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;MON OURS EN PELUCHE;Dossier 2527;Individuel;Individuels;;01_Petite section;Français;;Wednesday, January 8, 2025;13:45;90;15:15;1;A;N3 - Rohan - Expo;;;30;30;0;0;0;0;100;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1794;Individuel;Individuels;;01_Petite section;Français;;Wednesday, January 8, 2025;12:15;90;13:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;20;5;15;0;0;0;25;110.00;0;0;0;GROUPES;;export tickpro;Français;CS/Handicap;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 1839;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, January 8, 2025;13:45;90;15:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;25;5;0;0;0;83;0;0;0;0;GROUPES;;export tickpro;;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2765;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, January 8, 2025;14:45;90;16:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;30;0;0;0;0;100;0;0;0;0;GROUPES;;export tickpro;;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2775;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, January 8, 2025;15:45;90;17:15;1;A;;Français;;30;12;18;0;0;0;40;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2441;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, January 8, 2025;14:45;90;16:15;1;A;;Français;;30;16;14;0;0;0;53;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - MON OURS EN PELUCHE;GROUPE EN VISITE LIBRE;GROUPES;MON OURS EN PELUCHE;Dossier 2263;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, January 8, 2025;13:15;90;14:45;1;G;N3 - Rohan - Expo;;;0;15;0;0;0;0;0;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - MON OURS EN PELUCHE;GROUPE EN VISITE LIBRE;GROUPES;MON OURS EN PELUCHE;Dossier 2263;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, January 8, 2025;15:00;90;16:30;1;G;N3 - Rohan - Expo;;;0;15;0;0;0;0;0;0;0;0;0;GROUPES;;export tickpro;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2221;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, January 9, 2025;18:30;120;20:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;10;0;0;0;0;0;250.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1587;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, January 9, 2025;10:45;90;12:15;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;20;0;0;0;0;0;330.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;VISITE GUIDÉE;ADULTES (15 ANS ET +);L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 1930;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, January 9, 2025;11:00;90;12:30;1;G;NEF - EXPO;;Expo - Audiophone 2;0;20;0;0;0;0;0;330.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2550;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, January 9, 2025;11:00;120;13:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 3;0;20;0;0;0;0;0;350.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;;
