nom;type d'activité;types de public;exposition;réservation;nature de client;type de client;catégorie de client;niveau de groupe;langue du groupe;thème;date;heure;durée;fin;en vente;nature de la séance;salles;langues de l'activite;matériels;places ouvertes;places vendues;places disponibles;overbooking;overbooking vendu;overbooking disponible;taux de remplissage;Montant;temps de préparation;temps de rangement;temps annexe total;Types de public (croisement col C et F);AGE ( Type de client ? Col H);Niveau groupe / détail âge (col I);langue;TARIF;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2645;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 9, 2025;12:45;90;14:15;1;A;;Français;;30;8;22;0;0;0;26;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2392;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 9, 2025;15:45;90;17:15;1;A;;Français;;30;12;18;0;0;0;40;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3476;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 9, 2025;13:15;90;14:45;1;A;;Français;;30;16;14;0;0;0;53;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2600;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 9, 2025;13:45;90;15:15;1;A;;Français;;30;20;10;0;0;0;66;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - ROCOCO & CO. DE NICOLAS PINEAU À CINDY SHERMAN (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;ROCOCO & CO. DE NICOLAS PINEAU À CINDY SHERMAN;Dossier 3626;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 9, 2025;13:30;90;15:00;1;G;;;;0;15;0;0;0;0;0;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - ROCOCO & CO. DE NICOLAS PINEAU À CINDY SHERMAN (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;ROCOCO & CO. DE NICOLAS PINEAU À CINDY SHERMAN;Dossier 3627;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 9, 2025;16:30;90;18:00;1;G;;;;0;15;0;0;0;0;0;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - MON OURS EN PELUCHE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;MON OURS EN PELUCHE;;;;;;;;Wednesday, April 9, 2025;11:45;90;13:15;1;A;N3 - Rohan - Expo;;;30;28;2;0;0;0;93;0;0;0;0;GROUPES;;export tickpro;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3672;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 10, 2025;16:30;90;18:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;20;0;0;0;0;0;130.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3472;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Thursday, April 10, 2025;18:45;120;20:45;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 3;0;15;0;0;0;0;0;300.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3205;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 10, 2025;10:00;90;11:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;20;0;0;0;0;0;330.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3205;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 10, 2025;10:15;90;11:45;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;20;0;0;0;0;0;330.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1858;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 10, 2025;14:45;90;16:15;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 4;0;20;0;0;0;0;0;330.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3069;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 10, 2025;18:00;90;19:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;20;0;0;0;0;0;330.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
CONF - LES RENCONTRES DES ARTS DÉCORATIFS.  ARTS DÉCORATIFS, MODE, DESIGN, JARDINS AUTOUR DE  de 1925;ÉVÉNEMENT;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;;Individuel;;;;;;Thursday, April 10, 2025;09:00;510;17:30;1;A;Salle de conférence;;;110;110;0;0;0;0;100;0;0;0;0;INDIVIDUELS;ADULTES;ADULTES (15 ANS ET +);Français;;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1403;Organisme;Société;Groupe Adulte - Entreprises;24_4 - 6 ans;Français;;Thursday, April 10, 2025;19:15;90;20:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 4;20;5;15;0;0;0;25;110.00;0;0;0;GROUPES;ADULTES;Groupe Adulte - Entreprises;;CS/Handicap;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;;;;;;;;Thursday, April 10, 2025;18:30;90;20:00;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;Français;Expo - Audiophone 1;18;18;0;2;0;2;100;508.00;15;0;15;INDIVIDUELS;ADULTES;;Français;;
VG - 1H30 - LE DESIGN OU QUESTIONNER LES OBJETS DU QUOTIDIEN;VISITE GUIDÉE;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3429;Organisme;Elémentaire;Groupe Education - 1er Degré;08_CM2;Français;;Thursday, April 10, 2025;14:00;90;15:30;1;G;N3 - Lefuel Rivoli - Moderne et Contemporain, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;0;30;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;08_CM2;Français;;
VG - 1H30 - LE DESIGN OU QUESTIONNER LES OBJETS DU QUOTIDIEN;VISITE GUIDÉE;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3429;Organisme;Elémentaire;Groupe Education - 1er Degré;08_CM2;Français;;Thursday, April 10, 2025;14:15;90;15:45;1;G;N3 - Lefuel Rivoli - Moderne et Contemporain, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;0;30;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;08_CM2;Français;;
VG - 1H30 - VERS LA MODERNITÉ, UN ART NOUVEAU;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2318;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;14_Première;Français;;Thursday, April 10, 2025;10:00;90;11:30;1;G;N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle;;Collection - Audiophone 1;0;30;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;14_Première;Français;;
VG - 1H30 - VERS LA MODERNITÉ, UN ART NOUVEAU;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2318;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;14_Première;Français;;Thursday, April 10, 2025;10:15;90;11:45;1;G;N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle;;Collection - Audiophone 2;0;30;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;14_Première;Français;;
VG - 1H30 - À TABLE !;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3317;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;19_Terminale Pro;Français;;Thursday, April 10, 2025;10:30;90;12:00;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;0;16;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;19_Terminale Pro;Français;;
VG - 1H30 - À TABLE !;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3317;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;19_Terminale Pro;Français;;Thursday, April 10, 2025;10:45;90;12:15;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;0;16;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;19_Terminale Pro;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3181;Organisme;Enseignement Supérieur - Autre;Groupe Education - Enseignement Supérieur;22_Enseignement Supérieur;Français;;Thursday, April 10, 2025;13:00;90;14:30;1;G;;;Expo - Audiophone 5;0;20;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;22_Enseignement Supérieur;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1673;Organisme;Université;Groupe Education - Enseignement Supérieur;22_Enseignement Supérieur;Anglais;;Thursday, April 10, 2025;14:15;120;16:15;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;18;0;0;0;0;0;165.00;15;0;15;GROUPES;JEUNES/FAMILLES;22_Enseignement Supérieur;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1673;Organisme;Université;Groupe Education - Enseignement Supérieur;22_Enseignement Supérieur;Anglais;;Thursday, April 10, 2025;14:30;120;16:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 3;0;18;0;0;0;0;0;165.00;15;0;15;GROUPES;JEUNES/FAMILLES;22_Enseignement Supérieur;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1673;Organisme;Université;Groupe Education - Enseignement Supérieur;22_Enseignement Supérieur;Anglais;;Thursday, April 10, 2025;14:00;120;16:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;19;0;0;0;0;0;165.00;15;0;15;GROUPES;JEUNES/FAMILLES;22_Enseignement Supérieur;Français;;
VA - MON PETIT OURS DE POCHE;VISITE-ATELIER;4-6 ANS, 7-10 ANS, EN FAMILLE;MON OURS EN PELUCHE;Dossier 3091;Organisme;Primaire;Groupe Education - 1er Degré;04_CP;Français;;Thursday, April 10, 2025;13:30;120;15:30;1;G;N3 - Rohan - Expo, N4 - Atelier Tuileries 1;;;0;29;0;0;0;0;0;170.00;15;15;30;GROUPES;JEUNES/FAMILLES;Groupe Education - 1er Degré;Français;;
APA - MUSEE DES ARTS DECORATIFS;ATELIER DE PRATIQUE ARTISTIQUE;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2059;Organisme;Primaire;Groupe Education - 1er Degré;05_CE1;Français;;Thursday, April 10, 2025;10:00;120;12:00;1;G;N4 - Atelier Tuileries 2;;;0;18;0;0;0;0;0;0;15;15;30;GROUPES;JEUNES/FAMILLES;Groupe Education - 1er Degré;;;
VL - CHRISTOFLE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3635;Individuel;Individuels;;00_VL;Français;;Thursday, April 10, 2025;15:15;90;16:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;;30;17;13;0;0;0;56;0;0;0;0;GROUPES;;export tickpro;;;
VL - CHRISTOFLE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3793;Individuel;Individuels;;00_VL;Français;;Thursday, April 10, 2025;17:15;90;18:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;;30;20;10;0;0;0;66;0;0;0;0;GROUPES;;export tickpro;;;
VL - CHRISTOFLE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3004;Individuel;Individuels;;00_VL;Français;;Thursday, April 10, 2025;19:30;90;21:00;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;;20;20;0;0;0;0;100;0;0;0;0;GROUPES;;export tickpro;;;
VL - MON OURS EN PELUCHE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;MON OURS EN PELUCHE;Dossier 3650;Individuel;Individuels;;00_VL;Français;;Thursday, April 10, 2025;11:45;90;13:15;1;A;N3 - Rohan - Expo;;;30;1;29;0;0;0;3;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - MON OURS EN PELUCHE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;MON OURS EN PELUCHE;Dossier 3036;Individuel;Individuels;;00_VL;Français;;Thursday, April 10, 2025;13:45;90;15:15;1;A;N3 - Rohan - Expo;;;30;25;5;0;0;0;83;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1447;Individuel;Individuels;;01_Petite section;Français;;Thursday, April 10, 2025;18:15;90;19:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;20;5;15;0;0;0;25;110.00;0;0;0;GROUPES;;export tickpro;Français;CS/Handicap;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1371;Individuel;Individuels;;01_Petite section;Français;;Thursday, April 10, 2025;12:15;90;13:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;20;10;10;0;0;0;50;185.00;0;0;0;GROUPES;;export tickpro;;;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1374;Individuel;Individuels;;01_Petite section;Français;;Thursday, April 10, 2025;16:15;90;17:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;20;12;8;0;0;0;60;215.00;0;0;0;GROUPES;;export tickpro;;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3443;Individuel;Individuels;;27_Moins de 18 ans;Français;;Thursday, April 10, 2025;11:45;90;13:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;30;0;0;0;0;100;0;0;0;0;GROUPES;;export tickpro;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1859;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Friday, April 11, 2025;11:30;90;13:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;20;0;0;0;0;0;330.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2836;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Friday, April 11, 2025;14:00;90;15:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 3;0;20;0;0;0;0;0;330.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1537;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Friday, April 11, 2025;14:30;90;16:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;20;0;0;0;0;0;330.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1537;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Friday, April 11, 2025;14:45;90;16:15;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;20;0;0;0;0;0;330.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 2H - ENTREZ AU MUSÉE DES ARTS DÉCORATIFS !;VISITE GUIDÉE;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3322;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Friday, April 11, 2025;14:30;120;16:30;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;Collection - Audiophone 1;0;20;0;0;0;0;0;350.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1403;Organisme;Société;Groupe Adulte - Entreprises;24_4 - 6 ans;Français;;Friday, April 11, 2025;12:15;90;13:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 3;20;5;15;0;0;0;25;110.00;0;0;0;GROUPES;ADULTES;Groupe Adulte - Entreprises;;CS/Handicap;
VL - MON OURS EN PELUCHE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;MON OURS EN PELUCHE;Dossier 2711;Organisme;Formation Continue;Groupe Adulte - Formation continue;31_Adultes;Français;;Friday, April 11, 2025;13:45;90;15:15;1;A;N3 - Rohan - Expo;;;30;30;0;0;0;0;100;0;0;0;0;GROUPES;ADULTES;Groupe Adulte - Formation continue;Français;;
VL - CHRISTOFLE;GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3789;Organisme;DM - Conservation;Groupe Adulte - Interne;31_Adultes;Français;;Friday, April 11, 2025;15:00;90;16:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;;0;15;0;0;0;0;0;0;0;0;0;GROUPES;ADULTES;Groupe Adulte - Interne;Français;;
VG - 1H30 - NICOLAS PINEAU ET LA FABRIQUE DE L’ART ROCOCO;VISITE GUIDÉE;ADULTES (15 ANS ET +);ROCOCO & CO. DE NICOLAS PINEAU À CINDY SHERMAN;;;;;;;;Friday, April 11, 2025;11:30;90;13:00;1;A;N2 - Lefuel - Galerie Jardin;Français;Expo - Audiophone 1;20;13;7;0;0;0;65;308.00;15;0;15;INDIVIDUELS;ADULTES;;Français;;
VG - 1H30 - LA VIE DE CHÂTEAU, DU MOYEN-ÂGE AU XVIIE SIÈCLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 1993;Organisme;Primaire;Groupe Education - 1er Degré;07_CM1;Français;;Friday, April 11, 2025;10:00;90;11:30;1;G;;;;0;31;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;07_CM1;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3750;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;17_Première Pro;Français;;Friday, April 11, 2025;13:15;90;14:45;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;18;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;17_Première Pro;Français;;
VG - 1H30 - À TABLE !;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3549;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;23_BTS;Français;;Friday, April 11, 2025;10:15;90;11:45;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;Collection - Audiophone 2;0;12;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;23_BTS;Français;;
VG - 1H30 - À TABLE !;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3549;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;23_BTS;Français;;Friday, April 11, 2025;10:00;90;11:30;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;Collection - Audiophone 1;0;14;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;23_BTS;Français;;
VG - 1H30 - A LA DECOUVERTE DES METIERS D'ART;VISITE GUIDÉE;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3064;Organisme;Associations Jeunes;Groupe Jeune loisir - Associations Jeunes;27_Moins de 18 ans;Français;;Friday, April 11, 2025;10:15;90;11:45;1;G;;;;0;27;0;0;0;0;0;95.00;15;0;15;GROUPES;JEUNES/FAMILLES;27_Moins de 18 ans;Français;CS/Handicap;
VG - 1H30 - UNE HISTOIRE DU BIJOU, DU XVIIIE SIÈCLE À NOS JOURS;VISITE GUIDÉE;ADULTES (15 ANS ET +);GALERIE DES BIJOUX;Dossier 3126;Organisme;Société;Groupe Adulte - Entreprises;28_18-25 ans;Anglais;;Friday, April 11, 2025;12:30;90;14:00;1;G;N2 - Rohan - Galerie des bijoux;;Collection - Audiophone 2;0;15;0;0;0;0;0;125.00;15;0;15;GROUPES;JEUNES/FAMILLES;28_18-25 ans;Français;CS/Handicap;
VG - 1H30 - UNE HISTOIRE DU BIJOU, DU XVIIIE SIÈCLE À NOS JOURS;VISITE GUIDÉE;ADULTES (15 ANS ET +);GALERIE DES BIJOUX;Dossier 3126;Organisme;Société;Groupe Adulte - Entreprises;28_18-25 ans;Anglais;;Friday, April 11, 2025;12:45;90;14:15;1;G;N2 - Rohan - Galerie des bijoux;;Collection - Audiophone 1;0;15;0;0;0;0;0;125.00;15;0;15;GROUPES;JEUNES/FAMILLES;28_18-25 ans;Français;CS/Handicap;
