musee,idMuseofile,museeLabel,villeLabel,description,labelTourismeHandicap,accessibilitePMRLabel
http://www.wikidata.org/entity/Q15952849,M0099,musée Bernadotte,Pau,musée français,,
http://www.wikidata.org/entity/Q16038668,M0248,musée de l'Hospice Saint-Roch,Issoudun,musée français,,
http://www.wikidata.org/entity/Q16303673,M1172,espace Faïence de Malicorne,Malicorne-sur-Sarthe,musée en France,,
http://www.wikidata.org/entity/Q16335530,M0979,musée des mariniers,Serrières,musée français,,
http://www.wikidata.org/entity/Q3329939,M1125,musée de la Poste et des Télécommunications,Caen,ancien musée français,,
http://www.wikidata.org/entity/Q3329947,M0259,musée de la Préhistoire du Grand-Pressigny,Le Grand-Pressigny,musée français,,
http://www.wikidata.org/entity/Q3329950,M0771,musée de la Reine Bérengère,Le Mans,musée de France au Mans (Sarthe),,
http://www.wikidata.org/entity/Q3329952,M0455,musée de la Romanité,Nîmes,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3329963,M0425,musée de la Résistance nationale,Champigny-sur-Marne,musée français,,"accessible, sans aide, aux personnes à mobilité réduite"
http://www.wikidata.org/entity/Q3329960,M0335,musée de la Résistance et de la Déportation,Besançon,musée français,,
http://www.wikidata.org/entity/Q3330563,M0573,musée européen d'art campanaire,L'Isle-Jourdain,musée français,,
http://www.wikidata.org/entity/Q3330574,M1156,musée gallo-romain de Saint-Romain-en-Gal,Saint-Romain-en-Gal,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3330577,M0401,musée français de la photographie,Bièvres,musée français,,
http://www.wikidata.org/entity/Q3330593,M0076,musée de l'hydraviation,Biscarrosse,"musée français situé à Biscarrosse, en France",,
http://www.wikidata.org/entity/Q3330598,M0531,musée historique et Erckmann-Chatrian de Phalsbourg,Phalsbourg,musée français,,
http://www.wikidata.org/entity/Q3330601,M0287,musée historique et archéologique de l'Orléanais,Orléans,musée français,,
http://www.wikidata.org/entity/Q1094302,M5057,Musée de la musique,Villette,musée français (Paris),,
http://www.wikidata.org/entity/Q1094302,M5057,Musée de la musique,Pont-de-Flandre,musée français (Paris),,
http://www.wikidata.org/entity/Q1128657,M0363,musée de la Chasse et de la Nature,3e arrondissement de Paris,musée français à Paris et au château de Chambord consacré à la chasse et à la nature,,
http://www.wikidata.org/entity/Q1150222,M0759,château de Saumur,Saumur,château fort français situé à Saumur,,
http://www.wikidata.org/entity/Q1165235,M0166,musée Nicéphore-Niépce,Chalon-sur-Saône,musée français,,
http://www.wikidata.org/entity/Q1230290,M0392,Le Belvédère,Montfort-l'Amaury,maison à Montfort-l'Amaury (Yvelines),,
http://www.wikidata.org/entity/Q1319378,M5021,musée des Arts décoratifs,1er arrondissement de Paris,"musée à Paris, France",,
http://www.wikidata.org/entity/Q1457391,M7003,galerie de Paléontologie et d'Anatomie comparée,5e arrondissement de Paris,musée français,,
http://www.wikidata.org/entity/Q16665630,M0526,musée de la Guerre de 1870 et de l'Annexion,Gravelotte,musée français,,
http://www.wikidata.org/entity/Q16665632,M0151,musée de la Loire,Cosne-Cours-sur-Loire,musée situé à Cosne-sur-Loire,,
http://www.wikidata.org/entity/Q16684305,M0198,écomusée des Monts d'Arrée,Saint-Rivoal,musée français,,
http://www.wikidata.org/entity/Q16928705,M0914,"musée des Arts décoratifs, de la Faïence et de la Mode",Marseille,musée à Marseille,,
http://www.wikidata.org/entity/Q17347151,M0926,musée des Alpilles,Saint-Rémy-de-Provence,musée français,,
http://www.wikidata.org/entity/Q17347149,M1189,musée de l'Aventure du Son,Saint-Fargeau,"musée consacré au son, basé à Saint-Fargeau, France",,
http://www.wikidata.org/entity/Q3329964,M0821,musée de la Société archéologique et historique de la Charente,Angoulême,musée français,,
http://www.wikidata.org/entity/Q3329974,M0139,musée de la Vie bourguignonne Perrin de Puycousin,Dijon,musée français,,
http://www.wikidata.org/entity/Q3329992,M0604,musée du vieil Auvillar,Auvillar,"musée à Auvillar (Tarn-et-Garonne, France)",,
http://www.wikidata.org/entity/Q3329993,M0387,musée de la batellerie et des voies navigables de Conflans-Sainte-Honorine,Conflans-Sainte-Honorine,musée en France,,
http://www.wikidata.org/entity/Q3330006,M0129,musée de la coutellerie de Thiers,Thiers,musée français,,
http://www.wikidata.org/entity/Q3330009,M0797,musée de la céramique architecturale d'Auneuil,Auneuil,musée de France à Auneuil (Oise),,
http://www.wikidata.org/entity/Q3330009,M0797,musée de la céramique architecturale d'Auneuil,Auneuil,musée de France à Auneuil (Oise),,
http://www.wikidata.org/entity/Q760835,M0660,musée des antiquaires de Normandie,Caen,"musée à Caen, France",,
http://www.wikidata.org/entity/Q860166,M0365,Institut du monde arabe,5e arrondissement de Paris,institut culturel français consacré au monde arabe,,
http://www.wikidata.org/entity/Q867719,M0035,musée national de l'Automobile,Mulhouse,"musée à Mulhouse, dans le Haut-Rhin, en France",,
http://www.wikidata.org/entity/Q979000,M0149,musée du Septennat de François Mitterrand,Château-Chinon,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3330013,M0730,musée de la Céramique de Rouen,Rouen,musée de France à Rouen (Seine-Maritime),,inaccessible aux personnes à mobilité réduite
http://www.wikidata.org/entity/Q3330017,M0645,musée de la céramique de Desvres,Desvres,musée français,,
http://www.wikidata.org/entity/Q3330028,M0538,musée de la Lutherie et de l'Archèterie françaises,Mirecourt,"institution culturelle à Mirecourt, dans les Vosges, en France",Tourisme et Handicap,
http://www.wikidata.org/entity/Q3330032,M0163,musée de la mine de Blanzy,Blanzy,musée français,,
http://www.wikidata.org/entity/Q3330033,M0711,MuséoSeine,Caudebec-en-Caux,musée français à Caudebec-en-Caux,,
http://www.wikidata.org/entity/Q3330033,M0711,MuséoSeine,Rives-en-Seine,musée français à Caudebec-en-Caux,,
http://www.wikidata.org/entity/Q3330037,M0623,musée de la Mine et des Traditions populaires d'Escaudain,Escaudain,musée français,,
http://www.wikidata.org/entity/Q1799471,M0689,musée maritime de l'Île Tatihou,Manche,musée français,,
http://www.wikidata.org/entity/Q1799471,M0689,musée maritime de l'Île Tatihou,Normandie,musée français,,
http://www.wikidata.org/entity/Q1799471,M0689,musée maritime de l'Île Tatihou,Saint-Vaast-la-Hougue,musée français,,
http://www.wikidata.org/entity/Q1799471,M0689,musée maritime de l'Île Tatihou,arrondissement de Cherbourg,musée français,,
http://www.wikidata.org/entity/Q1840249,M0505,musée des Beaux-Arts de Limoges,Limoges,musée français,,
http://www.wikidata.org/entity/Q1885892,M9001,maison de Louis Pasteur à Arbois,Arbois,musée de France à Arbois (Jura),,
http://www.wikidata.org/entity/Q1954538,M0903,musée de la Camargue,Arles,musée français,,
http://www.wikidata.org/entity/Q1995733,M7004,Galerie de Minéralogie et de Géologie,5e arrondissement de Paris,"musée à Paris, France",,
http://www.wikidata.org/entity/Q1998638,M1076,musée de l'Assistance publique - Hôpitaux de Paris,5e arrondissement de Paris,musée français,,
http://www.wikidata.org/entity/Q1530976,M0411,musée français de la carte à jouer,Issy-les-Moulineaux,musée de la carte à jouer,,
http://www.wikidata.org/entity/Q1587628,M5019,musée national de Céramique,Sèvres,musée national français situé à Sèvres,,
http://www.wikidata.org/entity/Q1631711,M5064,musée Fragonard de l'École vétérinaire de Maisons-Alfort,Maisons-Alfort,musée français,,
http://www.wikidata.org/entity/Q1632912,M1108,musée Galliera,16e arrondissement de Paris,musée français,,
